# Softened-Plummer apsidal precession — apsis measured (geometric, no 1PN)
# observable: geometric apsidal angle per radial period (periapsis-passage)
# protocol: IAS15, dt=1e-4, n_radial=300, Sun-Mercury softened kernel
# units: solar-canonical (AU, yr/2pi, Msun, G=1)
# a=0.387098, e=0.20563, m_mercury=1.660114e-7
eps,precession_per_radial_rad
1.000000000000000021e-3,-6.857167009766129695e-5
1.333521432163324062e-3,-1.219275677142306336e-4
1.778279410038922752e-3,-2.168262732817893834e-4
2.371373705661655382e-3,-3.855103651142499643e-4
3.162277660168379394e-3,-6.854322236202747831e-4
4.216965034285822915e-3,-1.218435597928113623e-3
5.623413251903490971e-3,-2.165299836446976656e-3
7.498942093324557912e-3,-3.846149255984698812e-3
1.000000000000000021e-2,-6.825792390156237843e-3
1.333521432163324062e-2,-1.209493058931787601e-2
1.778279410038922925e-2,-2.137283213741802967e-2
2.371373705661655382e-2,-3.758743649820761590e-2
3.162277660168379134e-2,-6.555910824741406628e-2
4.216965034285822395e-2,-1.127616302826206507e-1
5.623413251903491145e-2,-1.895878800183030677e-1
7.498942093324557912e-2,-3.077759100400827563e-1
1.000000000000000056e-1,-4.753479679260337321e-1
