# Continuity counter-test: energy-spike magnitudes vs analytic jump-bound (paper §3.3)
# protocol: TruncatedPlummerKernel(R_c=1, alpha=0.8) + 1PN, Yoshida4, dt=1e-3, 60000 steps; e=0.5 a=1 equal-mass
# bound: |dE/E| <= delta_F * v_cross * dt / |E0|  (delta_F=0.19999999999999996, E0=0.5)
# smooth_floor_rel=2.664535e-14  (default exact NewtonKernel, Yoshida4, same bodies, no 1PN; worst step-to-step |dE/E|)
crossing,t_cross,v_cross,spike_rel,bound_rel
1,1.070796289e0,1.000000065e0,4.074249204e-5,4.000000261e-4
2,9.785026942e0,9.999823707e-1,5.389074159e-6,3.999929483e-4
3,1.192670038e1,9.999823947e-1,5.991115544e-5,3.999929579e-4
4,2.063934405e1,9.999403655e-1,2.013124414e-4,3.999761462e-4
5,2.278161546e1,9.999348940e-1,1.932449736e-4,3.999739576e-4
6,3.149402332e1,9.999506916e-1,4.664007320e-6,3.999802766e-4
7,3.363584172e1,9.999507064e-1,3.164942787e-5,3.999802826e-4
8,4.234746421e1,9.999186077e-1,1.772559355e-4,3.999674431e-4
9,4.448976102e1,9.998462210e-1,4.775082052e-5,3.999384884e-4
10,5.319483644e1,9.998223268e-1,3.267782620e-5,3.999289307e-4
11,5.533731755e1,9.998377341e-1,6.345789426e-5,3.999350936e-4
