# Pair separation r(t) for the truncated-kernel run (downsampled, stride 30)
t,r
1.000000e-3,5.000010e-1
3.100000e-2,5.009595e-1
6.100000e-2,5.036981e-1
9.100000e-2,5.081691e-1
1.210000e-1,5.142967e-1
1.510000e-1,5.219822e-1
1.810000e-1,5.311098e-1
2.110000e-1,5.415518e-1
2.410000e-1,5.531749e-1
2.710000e-1,5.658448e-1
3.010000e-1,5.794300e-1
3.310000e-1,5.938050e-1
3.610000e-1,6.088522e-1
3.910000e-1,6.244630e-1
4.210000e-1,6.405386e-1
4.510000e-1,6.569898e-1
4.810000e-1,6.737370e-1
5.110000e-1,6.907093e-1
5.410000e-1,7.078442e-1
5.710000e-1,7.250865e-1
6.010000e-1,7.423883e-1
6.310000e-1,7.597072e-1
6.610000e-1,7.770066e-1
6.910000e-1,7.942545e-1
7.210000e-1,8.114232e-1
7.510000e-1,8.284888e-1
7.810000e-1,8.454303e-1
8.110000e-1,8.622300e-1
8.410000e-1,8.788722e-1
8.710000e-1,8.953437e-1
9.010000e-1,9.116331e-1
9.310000e-1,9.277307e-1
9.610000e-1,9.436280e-1
9.910000e-1,9.593180e-1
1.021000e0,9.747947e-1
1.051000e0,9.900531e-1
1.081000e0,1.005099e0
1.111000e0,1.020056e0
1.141000e0,1.034958e0
1.171000e0,1.049797e0
1.201000e0,1.064565e0
1.231000e0,1.079258e0
1.261000e0,1.093870e0
1.291000e0,1.108395e0
1.321000e0,1.122831e0
1.351000e0,1.137172e0
1.381000e0,1.151415e0
1.411000e0,1.165558e0
1.441000e0,1.179597e0
1.471000e0,1.193530e0
1.501000e0,1.207354e0
1.531000e0,1.221068e0
1.561000e0,1.234670e0
1.591000e0,1.248158e0
1.621000e0,1.261531e0
1.651000e0,1.274788e0
1.681000e0,1.287928e0
1.711000e0,1.300949e0
1.741000e0,1.313852e0
1.771000e0,1.326635e0
1.801000e0,1.339299e0
1.831000e0,1.351842e0
1.861000e0,1.364264e0
1.891000e0,1.376565e0
1.921000e0,1.388745e0
1.951000e0,1.400803e0
1.981000e0,1.412741e0
2.011000e0,1.424557e0
2.041000e0,1.436251e0
2.071000e0,1.447825e0
2.101000e0,1.459277e0
2.131000e0,1.470609e0
2.161000e0,1.481820e0
2.191000e0,1.492910e0
2.221000e0,1.503880e0
2.251000e0,1.514731e0
2.281000e0,1.525461e0
2.311000e0,1.536073e0
2.341000e0,1.546565e0
2.371000e0,1.556939e0
2.401000e0,1.567195e0
2.431000e0,1.577333e0
2.461000e0,1.587354e0
2.491000e0,1.597258e0
2.521000e0,1.607045e0
2.551000e0,1.616716e0
2.581000e0,1.626271e0
2.611000e0,1.635711e0
2.641000e0,1.645036e0
2.671000e0,1.654247e0
2.701000e0,1.663343e0
2.731000e0,1.672326e0
2.761000e0,1.681196e0
2.791000e0,1.689954e0
2.821000e0,1.698599e0
2.851000e0,1.707132e0
2.881000e0,1.715554e0
2.911000e0,1.723864e0
2.941000e0,1.732065e0
2.971000e0,1.740155e0
3.001000e0,1.748136e0
3.031000e0,1.756007e0
3.061000e0,1.763769e0
3.091000e0,1.771423e0
3.121000e0,1.778970e0
3.151000e0,1.786408e0
3.181000e0,1.793739e0
3.211000e0,1.800964e0
3.241000e0,1.808082e0
3.271000e0,1.815093e0
3.301000e0,1.822000e0
3.331000e0,1.828801e0
3.361000e0,1.835497e0
3.391000e0,1.842088e0
3.421000e0,1.848576e0
3.451000e0,1.854959e0
3.481000e0,1.861239e0
3.511000e0,1.867416e0
3.541000e0,1.873490e0
3.571000e0,1.879461e0
3.601000e0,1.885331e0
3.631000e0,1.891098e0
3.661000e0,1.896764e0
3.691000e0,1.902329e0
3.721000e0,1.907793e0
3.751000e0,1.913156e0
3.781000e0,1.918419e0
3.811000e0,1.923582e0
3.841000e0,1.928645e0
3.871000e0,1.933609e0
3.901000e0,1.938473e0
3.931000e0,1.943239e0
3.961000e0,1.947906e0
3.991000e0,1.952474e0
4.021000e0,1.956944e0
4.051000e0,1.961317e0
4.081000e0,1.965591e0
4.111000e0,1.969768e0
4.141000e0,1.973848e0
4.171000e0,1.977831e0
4.201000e0,1.981717e0
4.231000e0,1.985506e0
4.261000e0,1.989200e0
4.291000e0,1.992796e0
4.321000e0,1.996297e0
4.351000e0,1.999702e0
4.381000e0,2.003011e0
4.411000e0,2.006225e0
4.441000e0,2.009344e0
4.471000e0,2.012367e0
4.501000e0,2.015296e0
4.531000e0,2.018130e0
4.561000e0,2.020869e0
4.591000e0,2.023513e0
4.621000e0,2.026063e0
4.651000e0,2.028519e0
4.681000e0,2.030881e0
4.711000e0,2.033149e0
4.741000e0,2.035323e0
4.771000e0,2.037403e0
4.801000e0,2.039390e0
4.831000e0,2.041283e0
4.861000e0,2.043082e0
4.891000e0,2.044788e0
4.921000e0,2.046401e0
4.951000e0,2.047921e0
4.981000e0,2.049348e0
5.011000e0,2.050682e0
5.041000e0,2.051923e0
5.071000e0,2.053070e0
5.101000e0,2.054126e0
5.131000e0,2.055088e0
5.161000e0,2.055958e0
5.191000e0,2.056734e0
5.221000e0,2.057419e0
5.251000e0,2.058011e0
5.281000e0,2.058510e0
5.311000e0,2.058916e0
5.341000e0,2.059231e0
5.371000e0,2.059452e0
5.401000e0,2.059582e0
5.431000e0,2.059618e0
5.461000e0,2.059562e0
5.491000e0,2.059414e0
5.521000e0,2.059174e0
5.551000e0,2.058840e0
5.581000e0,2.058415e0
5.611000e0,2.057896e0
5.641000e0,2.057286e0
5.671000e0,2.056582e0
5.701000e0,2.055786e0
5.731000e0,2.054897e0
5.761000e0,2.053916e0
5.791000e0,2.052842e0
5.821000e0,2.051675e0
5.851000e0,2.050415e0
5.881000e0,2.049062e0
5.911000e0,2.047616e0
5.941000e0,2.046077e0
5.971000e0,2.044445e0
6.001000e0,2.042719e0
6.031000e0,2.040900e0
6.061000e0,2.038988e0
6.091000e0,2.036982e0
6.121000e0,2.034883e0
6.151000e0,2.032690e0
6.181000e0,2.030402e0
6.211000e0,2.028021e0
6.241000e0,2.025546e0
6.271000e0,2.022976e0
6.301000e0,2.020312e0
6.331000e0,2.017554e0
6.361000e0,2.014701e0
6.391000e0,2.011753e0
6.421000e0,2.008710e0
6.451000e0,2.005571e0
6.481000e0,2.002338e0
6.511000e0,1.999009e0
6.541000e0,1.995584e0
6.571000e0,1.992064e0
6.601000e0,1.988447e0
6.631000e0,1.984734e0
6.661000e0,1.980925e0
6.691000e0,1.977019e0
6.721000e0,1.973016e0
6.751000e0,1.968916e0
6.781000e0,1.964719e0
6.811000e0,1.960424e0
6.841000e0,1.956032e0
6.871000e0,1.951541e0
6.901000e0,1.946953e0
6.931000e0,1.942266e0
6.961000e0,1.937480e0
6.991000e0,1.932595e0
7.021000e0,1.927611e0
7.051000e0,1.922527e0
7.081000e0,1.917344e0
7.111000e0,1.912060e0
7.141000e0,1.906676e0
7.171000e0,1.901191e0
7.201000e0,1.895606e0
7.231000e0,1.889919e0
7.261000e0,1.884130e0
7.291000e0,1.878240e0
7.321000e0,1.872248e0
7.351000e0,1.866152e0
7.381000e0,1.859954e0
7.411000e0,1.853653e0
7.441000e0,1.847248e0
7.471000e0,1.840740e0
7.501000e0,1.834127e0
7.531000e0,1.827409e0
7.561000e0,1.820586e0
7.591000e0,1.813658e0
7.621000e0,1.806625e0
7.651000e0,1.799485e0
7.681000e0,1.792238e0
7.711000e0,1.784885e0
7.741000e0,1.777425e0
7.771000e0,1.769856e0
7.801000e0,1.762180e0
7.831000e0,1.754395e0
7.861000e0,1.746501e0
7.891000e0,1.738498e0
7.921000e0,1.730385e0
7.951000e0,1.722162e0
7.981000e0,1.713829e0
8.011000e0,1.705384e0
8.041000e0,1.696828e0
8.071000e0,1.688160e0
8.101000e0,1.679379e0
8.131000e0,1.670486e0
8.161000e0,1.661480e0
8.191000e0,1.652359e0
8.221000e0,1.643125e0
8.251000e0,1.633777e0
8.281000e0,1.624313e0
8.311000e0,1.614734e0
8.341000e0,1.605039e0
8.371000e0,1.595228e0
8.401000e0,1.585300e0
8.431000e0,1.575255e0
8.461000e0,1.565093e0
8.491000e0,1.554813e0
8.521000e0,1.544415e0
8.551000e0,1.533898e0
8.581000e0,1.523262e0
8.611000e0,1.512506e0
8.641000e0,1.501631e0
8.671000e0,1.490636e0
8.701000e0,1.479521e0
8.731000e0,1.468286e0
8.761000e0,1.456929e0
8.791000e0,1.445452e0
8.821000e0,1.433854e0
8.851000e0,1.422134e0
8.881000e0,1.410293e0
8.911000e0,1.398331e0
8.941000e0,1.386247e0
8.971000e0,1.374042e0
9.001000e0,1.361716e0
9.031000e0,1.349269e0
9.061000e0,1.336701e0
9.091000e0,1.324013e0
9.121000e0,1.311205e0
9.151000e0,1.298278e0
9.181000e0,1.285232e0
9.211000e0,1.272068e0
9.241000e0,1.258787e0
9.271000e0,1.245390e0
9.301000e0,1.231878e0
9.331000e0,1.218253e0
9.361000e0,1.204517e0
9.391000e0,1.190670e0
9.421000e0,1.176715e0
9.451000e0,1.162654e0
9.481000e0,1.148491e0
9.511000e0,1.134227e0
9.541000e0,1.119866e0
9.571000e0,1.105412e0
9.601000e0,1.090868e0
9.631000e0,1.076239e0
9.661000e0,1.061530e0
9.691000e0,1.046747e0
9.721000e0,1.031895e0
9.751000e0,1.016981e0
9.781000e0,1.002013e0
9.811000e0,9.869304e-1
9.841000e0,9.716278e-1
9.871000e0,9.561078e-1
9.901000e0,9.403757e-1
9.931000e0,9.244376e-1
9.961000e0,9.083009e-1
9.991000e0,8.919741e-1
1.002100e1,8.754675e-1
1.005100e1,8.587928e-1
1.008100e1,8.419636e-1
1.011100e1,8.249960e-1
1.014100e1,8.079084e-1
1.017100e1,7.907223e-1
1.020100e1,7.734623e-1
1.023100e1,7.561571e-1
1.026100e1,7.388395e-1
1.029100e1,7.215472e-1
1.032100e1,7.043236e-1
1.035100e1,6.872183e-1
1.038100e1,6.702877e-1
1.041100e1,6.535960e-1
1.044100e1,6.372158e-1
1.047100e1,6.212287e-1
1.050100e1,6.057259e-1
1.053100e1,5.908081e-1
1.056100e1,5.765858e-1
1.059100e1,5.631783e-1
1.062100e1,5.507126e-1
1.065100e1,5.393210e-1
1.068100e1,5.291379e-1
1.071100e1,5.202960e-1
1.074100e1,5.129208e-1
1.077100e1,5.071252e-1
1.080100e1,5.030036e-1
1.083100e1,5.006263e-1
1.086100e1,5.000352e-1
1.089100e1,5.012408e-1
1.092100e1,5.042215e-1
1.095100e1,5.089256e-1
1.098100e1,5.152737e-1
