# Long-horizon Mercury 1PN — apsis IAS15 side
# protocol: paper/notebooks/2026-05-13-mercury-1pn-long-horizon.md
# integrator: IAS15 (apsis), perturbation: PostNewtonian1PN::for_units(UnitSystem::solar_canonical())
# units: canonical Hénon (G = 1)
# a=0.387098, e=0.20563, m_mercury=1.660114e-7
# period=1.513251312931102266e0, dt0=1.000000000000000048e-4, n_orbits=4153
orbit,t,x,y,vx,vy,a_osc,e_osc,omega_osc
0,0.000000000000000000e0,3.074990382600000238e-1,0.000000000000000000e0,0.000000000000000000e0,1.980090965104285727e0,3.870979024673848468e-1,2.056297998517093717e-1,0.000000000000000000e0
1,1.524039618228116622e0,3.068839826905967461e-1,2.134705618396231380e-2,-1.139665048734729152e-1,1.976132053096868679e0,3.870979025653501493e-1,2.056298001951369914e-1,4.717455375808403324e-7
2,3.036759771769162342e0,3.069430332041677700e-1,2.029626672302965382e-2,-1.083610573698609442e-1,1.976512340902133014e0,3.870979025559407316e-1,2.056298001621563454e-1,9.752270238605105969e-7
3,4.549464747641216888e0,3.070007124608022386e-1,1.921524846159419764e-2,-1.025938147994763933e-1,1.976883504939952019e0,3.870979025467563561e-1,2.056298001299646794e-1,1.478751771539314343e-6
4,6.056114085853943507e0,3.074479488254290294e-1,6.151691242299798211e-3,-3.285417373908956773e-2,1.979762336351122309e0,3.870979024755175080e-1,2.056297998802235072e-1,1.999256563357899528e-6
5,7.568864238226508334e0,3.074631000754371457e-1,5.158372417154039220e-3,-2.754990684702487980e-2,1.979859895386596458e0,3.870979024731026619e-1,2.056297998717564746e-1,2.502661531336680866e-6
6,9.081551556591959340e0,3.074769671574874019e-1,4.040578792919794458e-3,-2.158081505030241820e-2,1.979949185934053224e0,3.870979024708924299e-1,2.056297998640078117e-1,3.006243188963313712e-6
7,1.060016413707250216e1,3.072093837099503788e-1,1.465077443785811791e-2,-7.823620826270941131e-2,1.978226527185023231e0,3.870979025135218299e-1,2.056298000134634818e-1,3.493196179254197633e-6
8,1.210724383711763252e1,3.074909960906296869e-1,2.433920887295011777e-3,-1.300081340550394982e-2,1.980039518561759415e0,3.870979024686568848e-1,2.056297998561688045e-1,4.012514591717993625e-6
9,1.361997848598887018e1,3.074963054114286387e-1,1.410367747813788151e-3,-7.531525334422015105e-3,1.980073703100694971e0,3.870979024678112279e-1,2.056297998532040927e-1,4.515963631289921950e-6
10,1.513272495753993319e1,3.074987610508568836e-1,4.096676160302770348e-4,-2.187159210365385853e-3,1.980089511026429383e0,3.870979024674207070e-1,2.056297998518341330e-1,5.019379506786511330e-6
11,1.665713039636609238e1,3.068169429504534196e-1,2.247814767052904242e-2,-1.200018975014395528e-1,1.975701188187863444e0,3.870979025759940240e-1,2.056298002324420393e-1,5.490107159140940766e-6
12,1.816985836335475213e1,3.068783596461189811e-1,2.144298474014654302e-2,-1.144807419621973882e-1,1.976096332461432681e0,3.870979025662179551e-1,2.056298001981787804e-1,5.993565893078050207e-6
13,1.967647841453115376e1,3.074055022363684775e-1,8.324967769885732380e-3,-4.446197729367933060e-2,1.979489080803435774e0,3.870979024822755465e-1,2.056297999039178315e-1,6.514138194192717231e-6
14,2.118920204064306034e1,3.074275119874601558e-1,7.279239374902611408e-3,-3.887838295933430943e-2,1.979630789968596538e0,3.870979024787684075e-1,2.056297998916220282e-1,7.017617107574331388e-6
15,2.270826568440348936e1,3.070231122410837510e-1,1.877794822389345503e-2,-1.002642231400608930e-1,1.977027774055546860e0,3.870979025431718901e-1,2.056298001174005075e-1,7.503322038004431165e-6
16,2.421516319698250186e1,3.074470469020850749e-1,6.205112432424437011e-3,-3.314315541446340163e-2,1.979756570100523971e0,3.870979024756552866e-1,2.056297998807069538e-1,8.023132484462761193e-6
17,2.572788934885820922e1,3.074630082318023927e-1,5.164319922402457047e-3,-2.758513573750163983e-2,1.979859338158415527e0,3.870979024731123763e-1,2.056297998717910025e-1,8.526604851524068331e-6
18,2.724061878617125743e1,3.074759753762676961e-1,4.130528825791129552e-3,-2.206143415063939461e-2,1.979942827304265851e0,3.870979024710465843e-1,2.056297998645484348e-1,9.030068194266516144e-6
19,2.875900323272536241e1,3.072234999385223819e-1,1.428936298255245770e-2,-7.630706435137493693e-2,1.978317485042990098e0,3.870979025112596394e-1,2.056298000055330200e-1,9.517660739378699472e-6
20,3.027173518156066123e1,3.072617422543882926e-1,1.326075405611151087e-2,-7.081647491864634381e-2,1.978563652474686796e0,3.870979025051681788e-1,2.056297999841780466e-1,1.002111386048233143e-5
21,3.178446255802390397e1,3.072974284982844528e-1,1.222295230380514817e-2,-6.527651688798785656e-2,1.978793376244195823e0,3.870979024994837814e-1,2.056297999642495988e-1,1.052458031792188658e-5
22,3.329718069748631137e1,3.073307604367670476e-1,1.116671926567690092e-2,-5.963795918036338128e-2,1.979007952820299732e0,3.870979024941737512e-1,2.056297999456335179e-1,1.102807316754365041e-5
23,3.480993207564861791e1,3.073592822833501881e-1,1.017617771416059157e-2,-5.434972626887876745e-2,1.979191570493958885e0,3.870979024896302745e-1,2.056297999297042600e-1,1.153147320884844564e-5
24,3.632268186562317425e1,3.073852354159300471e-1,9.182436388416774856e-3,-4.904395055056483266e-2,1.979358655698609804e0,3.870979024854956374e-1,2.056297999152087996e-1,1.203487807205010860e-5
25,3.783538631105994199e1,3.074104971300429812e-1,8.098869502981994456e-3,-4.325815937194890659e-2,1.979521292613604766e0,3.870979024814715785e-1,2.056297999011002797e-1,1.253841056180717811e-5
26,3.934723054413972676e1,3.074609135534827065e-1,5.312752725735415786e-3,-2.837669629566730300e-2,1.979845878189994135e0,3.870979024734419460e-1,2.056297998729470777e-1,1.304435910054555303e-5
27,4.085995389845439973e1,3.074744330260558711e-1,4.266384665553590340e-3,-2.278872515998001114e-2,1.979932918381886564e0,3.870979024712891681e-1,2.056297998653987824e-1,1.354783950345659137e-5
28,4.237824839583598191e1,3.072251130703841926e-1,1.424715418028523958e-2,-7.608349116202579865e-2,1.978327938860774404e0,3.870979025109925198e-1,2.056298000045968521e-1,1.403568456804772783e-5
29,4.388546578091219885e1,3.074918332014535682e-1,2.302552730830063812e-3,-1.230104803063562791e-2,1.980044934957462699e0,3.870979024685198278e-1,2.056297998556884943e-1,1.455461767666748876e-5
30,4.539821410224679710e1,3.074966862272887624e-1,1.305473653676078680e-3,-6.976336153425313769e-3,1.980076169818891341e0,3.870979024677482228e-1,2.056297998529837967e-1,1.505802831178722095e-5
31,4.691695863239626618e1,3.072988668855379246e-1,1.217877535076891324e-2,-6.504330915362491194e-2,1.978802702552048931e0,3.870979024992446393e-1,2.056297999634119911e-1,1.554460278043238208e-5
32,4.842967074350762147e1,3.073324322761625260e-1,1.111064581237333586e-2,-5.934101131035833532e-2,1.979018776439284366e0,3.870979024938985269e-1,2.056297999446689007e-1,1.604811256112756979e-5
33,4.994851230524950125e1,3.068357738914388455e-1,2.216483224566577481e-2,-1.183366524611613735e-1,1.975822604075647693e0,3.870979025729581746e-1,2.056298002218027721e-1,1.653446149311377158e-5
34,5.146124320167507449e1,3.068959875806301918e-1,2.113595377352639124e-2,-1.128458426102656315e-1,1.976210005453487684e0,3.870979025633752291e-1,2.056298001882156945e-1,1.703791230468104892e-5
35,5.296824907630983859e1,3.073949619911711673e-1,8.781178511680198806e-3,-4.690090405281342745e-2,1.979421327172153022e0,3.870979024839392713e-1,2.056297999097509432e-1,1.755740376277517884e-5
36,5.448690144715439487e1,3.069876179122360549e-1,1.946488745540623025e-2,-1.039313778835865010e-1,1.976799595197199721e0,3.870979025487897851e-1,2.056298001370921447e-1,1.804426702822806998e-5
37,5.599962454168512949e1,3.070410941735031707e-1,1.841953062209785927e-2,-9.835397387088337662e-2,1.977143713466214647e0,3.870979025402767615e-1,2.056298001072526249e-1,1.854774173143392330e-5
38,5.751242189402758243e1,3.070847027731972156e-1,1.752080881616575186e-2,-9.355868299109768027e-2,1.977424351778943823e0,3.870979025333341483e-1,2.056298000829158978e-1,1.905100935248734575e-5
39,5.901872738577656463e1,3.074797653299255473e-1,3.774103599750971982e-3,-2.016314852791691037e-2,1.979967271471519519e0,3.870979024704366833e-1,2.056297998624097845e-1,1.957248964606377834e-5
40,6.053112126612739274e1,3.074931721200666601e-1,2.075279294706258715e-3,-1.109038595537222005e-2,1.980053565524840131e0,3.870979024683049441e-1,2.056297998549354300e-1,2.007689592373713438e-5
41,6.204384597316510508e1,3.074975487804335050e-1,1.031479840594092022e-3,-5.515907404103931322e-3,1.980081725737544707e0,3.870979024676106661e-1,2.056297998525011272e-1,2.058037291911464511e-5
42,6.356219961395084539e1,3.073317954568361432e-1,1.113146642390656742e-2,-5.945430115545032035e-2,1.979014738286849262e0,3.870979024939912305e-1,2.056297999449934744e-1,2.106804304806896035e-5
43,6.507488302847767159e1,3.073638823001385578e-1,1.000699963893248064e-2,-5.344778817510968671e-2,1.979221294139099641e0,3.870979024888814846e-1,2.056297999270794152e-1,2.157163380769565862e-5
44,6.658764097326179865e1,3.073889896668328681e-1,9.029401996050090765e-3,-4.822808313554624582e-2,1.979382924350064688e0,3.870979024848833494e-1,2.056297999130620446e-1,2.207501584425469504e-5
45,6.810038673432377720e1,3.074120422224741467e-1,8.027601147340954202e-3,-4.287893099019426946e-2,1.979531328197887241e0,3.870979024812128411e-1,2.056297999001927557e-1,2.257843239986078961e-5
46,6.961313211883536667e1,3.074324017924322527e-1,7.024962255306486936e-3,-3.752518762608021696e-2,1.979662395951910625e0,3.870979024779711564e-1,2.056297998888277079e-1,2.308185030749573480e-5
47,7.112586842619799654e1,3.074503415099984482e-1,6.004255931823025000e-3,-3.207493603007069427e-2,1.979777884432504242e0,3.870979024751152187e-1,2.056297998788144399e-1,2.358529396513111580e-5
48,7.263858666601407776e1,3.074659507644907364e-1,4.947747666268407368e-3,-2.643316568054684956e-2,1.979878367601324296e0,3.870979024726312612e-1,2.056297998701046570e-1,2.408878859802712370e-5
49,7.415193923935154885e1,3.074632337267624860e-1,5.147148243865847482e-3,-2.749857232468669310e-2,1.979860880580363247e0,3.870979024730631379e-1,2.056297998716188347e-1,2.459050165149925099e-5
50,7.566466762793190526e1,3.074761786913925432e-1,4.110733871190080241e-3,-2.196377418416839422e-2,1.979944208617689938e0,3.870979024710036187e-1,2.056297998643980829e-1,2.509396794291946927e-5
51,7.717745030570451092e1,3.074853190232766376e-1,3.182319807636069427e-3,-1.700275248203454714e-2,1.980003041037939449e0,3.870979024695501702e-1,2.056297998593021037e-1,2.559728188213870656e-5
52,7.869563343266815991e1,3.072729256590433500e-1,1.294356349675265111e-2,-6.912825984049450478e-2,1.978635868349151172e0,3.870979025033539078e-1,2.056297999778180507e-1,2.608543571087469312e-5
53,8.020838913012035221e1,3.073059213431638681e-1,1.196179146044002058e-2,-6.388720082428940572e-2,1.978848257760883023e0,3.870979024981002770e-1,2.056297999593999781e-1,2.658882289511814247e-5
54,8.172113300399350067e1,3.073370092852940050e-1,1.095649815643471095e-2,-5.852033114985558115e-2,1.979048372800109146e0,3.870979024931503476e-1,2.056297999420461098e-1,2.709224367067707812e-5
55,8.323918507291038793e1,3.069344275182672166e-1,2.045070753963549801e-2,-1.091953109001021771e-1,1.976457563406149864e0,3.870979025572235943e-1,2.056298001666543307e-1,2.758079685911292558e-5
56,8.475190900884334155e1,3.069906001436801812e-1,1.940714845168961880e-2,-1.036282996539571732e-1,1.976818997916842235e0,3.870979025482841895e-1,2.056298001353198401e-1,2.808426847867705545e-5
57,8.626461679747582423e1,3.070454156582880789e-1,1.833151205814355020e-2,-9.788932273974701448e-2,1.977171723797733760e0,3.870979025395595019e-1,2.056298001047389690e-1,2.858778604358497746e-5
58,8.777731535485001757e1,3.070979587764547936e-1,1.723745033042051178e-2,-9.205131550218365044e-2,1.977509848831881190e0,3.870979025311963029e-1,2.056298000754223920e-1,2.909133022246032787e-5
59,8.929006608807064538e1,3.071427589959677129e-1,1.624694912614171524e-2,-8.676251820832181494e-2,1.977798164068988118e0,3.870979025240650073e-1,2.056298000504237777e-1,2.959472905551315946e-5
60,9.080282146451557423e1,3.071845303820914808e-1,1.526494881515762930e-2,-8.152153580252878562e-2,1.978067000236231499e0,3.870979025174153820e-1,2.056298000271135629e-1,3.009811546638918863e-5
61,9.230961428840649319e1,3.074906775971114614e-1,2.480657208801918291e-3,-1.325737954709703403e-2,1.980037540065248125e0,3.870979024686970749e-1,2.056297998563104690e-1,3.061823742358239201e-5
62,9.382235005976487230e1,3.074961108594448378e-1,1.458765592988070211e-3,-7.799969152242791637e-3,1.980072492858132582e0,3.870979024678359304e-1,2.056297998532909677e-1,3.112168330615618008e-5
63,9.533507649493419933e1,3.074987492357749153e-1,4.183398916573450666e-4,-2.243706220489971592e-3,1.980089446883819049e0,3.870979024674205404e-1,2.056297998518345771e-1,3.162515547623985675e-5
64,9.685944721341743957e1,3.068204630410978906e-1,2.241814394786977721e-2,-1.196924311381462186e-1,1.975724486974483440e0,3.870979025753387148e-1,2.056298002301459038e-1,3.209598005383577864e-5
65,9.837216659340035108e1,3.068826975962098413e-1,2.136598981187654706e-2,-1.140806489813602775e-1,1.976124864618526544e0,3.870979025654368577e-1,2.056298001954415533e-1,3.259946282921526487e-5
66,9.988403635542493930e1,3.070302928286600119e-1,1.863413018297226109e-2,-9.950586731923494188e-2,1.977074504403879551e0,3.870979025419527542e-1,2.056298001131273145e-1,3.310532193134173512e-5
67,1.013914306695317151e2,3.074320095639506145e-1,7.045170157450486581e-3,-3.763553598663313404e-2,1.979659952331068506e0,3.870979024780216715e-1,2.056297998890045942e-1,3.362373817949114544e-5
68,1.029041466725630585e2,3.074506574911687884e-1,5.984335619803258545e-3,-3.197061474827174454e-2,1.979779987552006348e0,3.870979024750549891e-1,2.056297998786026926e-1,3.412723885447482093e-5
69,1.044226577246637220e2,3.071363545285566432e-1,1.639189210209870268e-2,-8.753824524215386704e-2,1.977757038148867608e0,3.870979025250711469e-1,2.056298000539507620e-1,3.461448384674084170e-5
70,1.059353959287797693e2,3.071799227401820209e-1,1.537593139078209659e-2,-8.211612746188318157e-2,1.978037430822223497e0,3.870979025181363609e-1,2.056298000296405970e-1,3.511791827718809699e-5
71,1.074421543142241404e2,3.074903850499358660e-1,2.523525759316296458e-3,-1.348873219593987871e-2,1.980035671519390750e0,3.870979024687415948e-1,2.056297998564659557e-1,3.563813652817457575e-5
72,1.089610986693598420e2,3.072423021898818551e-1,1.379131818029654885e-2,-7.365888018321593844e-2,1.978438912967097840e0,3.870979025082068037e-1,2.056297999948305255e-1,3.612415443592246003e-5
73,1.104738014652429143e2,3.072811504695824314e-1,1.270493876953562341e-2,-6.785980277445517739e-2,1.978688954897357632e0,3.870979025020234721e-1,2.056297999731528658e-1,3.662768955434628063e-5
