# REBOUND parity — Figure-8 choreography — apsis IAS15 side
# protocol: paper/notebooks/2026-04-26-rebound-parity-figure8.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# mass=1, period=6.325913986999999850e0
# n_periods=10, samples_per_period=200, dt0=6.325913986999999808e-3
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
0,0.000000000000000000e0,-9.700043600000000099e-1,2.430875299999999961e-1,4.662036849999999788e-1,4.323657300000000037e-1,9.700043600000000099e-1,-2.430875299999999961e-1,4.662036849999999788e-1,4.323657300000000037e-1,0.000000000000000000e0,0.000000000000000000e0,-9.324073699999999576e-1,-8.647314600000000073e-1,-1.287141991766325821e0
1,3.780809306019140836e-2,-9.514968526239577784e-1,2.591978692912482729e-1,5.132040774305954844e-1,4.193134997030396605e-1,9.867787397404713667e-1,-2.265411079759455104e-1,4.215287526106644700e-1,4.424732265674043985e-1,-3.528188711651360221e-2,-3.265676131530275556e-2,-9.347328300412600655e-1,-8.617867262704440590e-1,-1.287141991766325377e0
2,7.836093873677613120e-2,-9.296206174941101796e-1,2.758536040217022811e-1,5.661124326464224144e-1,4.013814418799734329e-1,1.002944610267382242e0,-2.084237287468170552e-1,3.761842081863543408e-1,4.506300350689704248e-1,-7.332399277327213138e-2,-6.742987527488522592e-2,-9.422966408327767551e-1,-8.520114769489438578e-1,-1.287141991766325599e0
3,1.005479245619275014e-1,-9.167291445200943523e-1,2.846308976857113149e-1,5.960760005266267925e-1,3.895775913617959274e-1,1.011026560887525738e0,-1.983857861602086048e-1,3.524733261191188571e-1,4.541154211093476611e-1,-9.429741636743141364e-2,-8.624511152550269621e-2,-9.485493266457457606e-1,-8.436930124711435885e-1,-1.287141991766325377e0
4,1.466855248183500382e-1,-8.877540154994212340e-1,3.019471642885133700e-1,6.603599893517009267e-1,3.598179724137866020e-1,1.026193972791570541e0,-1.772996075932803672e-1,3.055313555769305078e-1,4.595743642883078905e-1,-1.384399572921493626e-1,-1.246475566952329750e-1,-9.658913449286313790e-1,-8.193923367020944371e-1,-1.287141991766325377e0
5,1.699897704859587022e-1,-8.719779155187938890e-1,3.101266706640153914e-1,6.936376683672302867e-1,3.418023676862702587e-1,1.033049809005222919e0,-1.665654117860302930e-1,2.829684720994204983e-1,4.615735129815897175e-1,-1.610718934864291130e-1,-1.435612588779850707e-1,-9.766061404666508405e-1,-8.033758806678599207e-1,-1.287141991766325599e0
6,1.931341767022163036e-1,-8.555380482463145198e-1,3.178094970217079096e-1,7.270420436344661175e-1,3.217262329165582191e-1,1.039346544927945537e0,-1.558635980986775582e-1,2.612723737595381568e-1,4.631501973002392636e-1,-1.838084966816310450e-1,-1.619458989230303514e-1,-9.883144173940042743e-1,-7.848764302167975382e-1,-1.287141991766325599e0
7,2.386255043978672274e-1,-8.209624895050580129e-1,3.314271013675462174e-1,7.930424673327584051e-1,2.753913368880948065e-1,1.050296422589420464e0,-1.347412265207597604e-1,2.205360493964685920e-1,4.652956396074997558e-1,-2.293339330843624790e-1,-1.966858748467864570e-1,-1.013578516729227053e0,-7.406869764955945623e-1,-1.287141991766325821e0
8,2.609166162648484666e-1,-8.029261974137287261e-1,3.372778077965079557e-1,8.251513519886573000e-1,2.491443029900543560e-1,1.054998367821670113e0,-1.243612323310409468e-1,2.014180068624259745e-1,4.659828254938180869e-1,-2.520721704079413872e-1,-2.129165754654670228e-1,-1.026569358851083136e0,-7.151271284838724984e-1,-1.287141991766325599e0
9,3.046075397969967291e-1,-7.655238918400042447e-1,3.469188130319557639e-1,8.865293472079857073e-1,1.905984318483197881e-1,1.063004361139658238e0,-1.039814725220158109e-1,1.653597351256717862e-1,4.668268432208682595e-1,-2.974804692996540489e-1,-2.429373405099399530e-1,-1.051889082333657521e0,-6.574252750691881308e-1,-1.287141991766326043e0
10,3.260321752703478349e-1,-7.462193220864737908e-1,3.506615549947265653e-1,9.153909664182781070e-1,1.584074208189340804e-1,1.066363576688399650e0,-9.397722614285142217e-2,1.482861422951861907e-1,4.670580158657129388e-1,-3.201442546019260260e-1,-2.566843288518751431e-1,-1.063677108713464214e0,-6.254654366846470470e-1,-1.287141991766325599e0
11,3.681212699349700745e-1,-7.065548411611756174e-1,3.558902952686319177e-1,9.684888300734937339e-1,8.864152139578518330e-2,1.071915432541207469e0,-7.431361613137386912e-2,1.157301467456205712e-1,4.672799066871273221e-1,-3.653605913800317961e-1,-2.815766791372580347e-1,-1.084218976819114388e0,-5.559214280829124499e-1,-1.287141991766325821e0
12,3.888169185529348204e-1,-6.862614242126635622e-1,3.573419692268902104e-1,9.923613111552184174e-1,5.133253363168363559e-2,1.074148717407864106e0,-6.464255208741781500e-2,1.001318246860256611e-1,4.673126842771642142e-1,-3.878872931952006553e-1,-2.926994171394723954e-1,-1.092493135841244190e0,-5.186452179088478776e-1,-1.287141991766325821e0
13,4.296092910709483625e-1,-6.449053359914770356e-1,3.578532188564175209e-1,1.033983477316137156e0,-2.731990030450863471e-2,1.077616493913033935e0,-4.557978635771879616e-2,7.001311533689898170e-2,4.672991410637938881e-1,-4.327111579215568993e-1,-3.122734324986987109e-1,-1.103996592653036179e0,-4.399792407592852395e-1,-1.287141991766325599e0
14,4.497661457846280353e-1,-6.238832899397532827e-1,3.568914412998431263e-1,1.051502460507547587e0,-6.831414590033731138e-2,1.078879970546740452e0,-3.616074407675788638e-2,5.537381143464268490e-2,4.672746820072236629e-1,-4.549966806069872804e-1,-3.207306972230852260e-1,-1.106876271942190293e0,-3.989605361068863654e-1,-1.287141991766325155e0
15,4.897266300482281953e-1,-5.812741804055768791e-1,3.524885896767212534e-1,1.079519582211138307e0,-1.526006096064847495e-1,1.080518151471776989e0,-1.748921899579059316e-2,2.667415906111221535e-2,4.672274145254846078e-1,-4.992439710662001651e-1,-3.349993706809306637e-1,-1.106193741272250453e0,-3.146268049189998584e-1,-1.287141991766325599e0
16,5.095909413414533295e-1,-5.597229507383860714e-1,3.490322261771752754e-1,1.089925482127973133e0,-1.954648732337239958e-1,1.080907236704660379e0,-8.208220288169068915e-3,1.250699430689263848e-2,4.672136043753838397e-1,-5.211842859662743077e-1,-3.408240058890062429e-1,-1.102432476434865860e0,-2.717487311416598161e-1,-1.287141991766325599e0
17,5.492226690873404094e-1,-5.162268604840110076e-1,3.395807175761115237e-1,1.103490085148432165e0,-2.814832700134254351e-1,1.080843826962579968e0,1.030817174337462540e-2,-1.570917223892309353e-2,4.672159226669713727e-1,-5.646169664785688491e-1,-3.498888893194861960e-1,-1.087780912909509068e0,-1.857326526535459377e-1,-1.287141991766325377e0
18,5.888816034038738545e-1,-4.723507113715305072e-1,3.267277196815359108e-1,1.107664291368621656e0,-3.662915133193705430e-1,1.079659139438462256e0,2.883812845871633682e-2,-4.407624358098735651e-2,4.672543915285308214e-1,-6.073084280669317492e-1,-3.555658481402522719e-1,-1.063588047787634272e0,-1.009628782091602783e-1,-1.287141991766325599e0
19,6.087830235599409612e-1,-4.503152954368178085e-1,3.190245879952195995e-1,1.106441291629517654e0,-4.076691116916607016e-1,1.078639257020603814e0,3.813740998779231728e-2,-5.843512648253500891e-2,4.672801468579715900e-1,-6.283239615837861169e-1,-3.571619979830119029e-1,-1.048006165146982749e0,-5.961103516631084676e-2,-1.287141991766325599e0
20,6.488494346609405827e-1,-4.061277938302531587e-1,3.010769087070043204e-1,1.098030016776731843e0,-4.873098526028126209e-1,1.075712855748552244e0,5.686050947692319196e-2,-8.774557948941588692e-2,4.673162914489636943e-1,-6.695850619182991403e-1,-3.579374181839274915e-1,-1.010284437287316095e0,1.999356115384891275e-2,-1.287141991766325599e0
21,6.690820467207110323e-1,-3.839785685025917661e-1,2.908308815581144291e-1,1.091166246370913306e0,-5.252294231652404610e-1,1.073785451896752452e0,6.631551323671898424e-2,-1.028130173108203205e-1,4.673095640171983645e-1,-6.898068833941607414e-1,-3.571463947948333995e-1,-9.883532290600929304e-1,5.791985914804213126e-2,-1.287141991766325377e0
22,7.100709792520656372e-1,-3.396066971438713167e-1,2.678158980603561057e-1,1.073080384897440620e0,-5.964406707355714987e-1,1.068934675849237514e0,8.546812591391510228e-2,-1.340467327530132646e-1,4.671856314551356415e-1,-7.293279787053663643e-1,-3.532840239742712218e-1,-9.390336521444273554e-1,1.292550392804358850e-1,-1.287141991766325377e0
23,7.308812655385613644e-1,-3.173864102650068020e-1,2.550564022116371121e-1,1.062286412413398162e0,-6.294621139963147982e-1,1.065976201563211490e0,9.518895428801570080e-2,-1.503343017714762753e-1,4.670350776511286162e-1,-7.485897912982046876e-1,-3.502453564996528268e-1,-9.119521106419219425e-1,1.624270363451861821e-1,-1.287141991766325599e0
24,7.732405574324286990e-1,-2.728887237139430710e-1,2.270826639167948802e-1,1.038366228492462406e0,-6.897533961097043198e-1,1.058888698813696960e0,1.149612867756515389e-1,-1.845582371820077561e-1,4.664444070419057065e-1,-7.859999750997539447e-1,-3.420439506924464190e-1,-8.538079913104545948e-1,2.233089890677986689e-1,-1.287141991766325821e0
25,7.948194065341229742e-1,-2.506180878086452513e-1,2.119020149403612607e-1,1.025739203793730292e0,-7.168296756486229881e-1,1.054712104335629563e0,1.250215171370601119e-1,-2.026179958363516220e-1,4.659450279956430241e-1,-8.040940165269842010e-1,-3.369235320774213727e-1,-8.231212079573786422e-1,2.508846476529800196e-1,-1.287141991766325377e0
26,8.388733552258617054e-1,-2.059928948403105253e-1,1.792352450420744703e-1,1.000409387515576620e0,-7.645226147214940760e-1,1.044948536045575249e0,1.455161881682743574e-1,-2.409904661439878359e-1,4.643427915568631992e-1,-8.389556412052647794e-1,-3.247514332103488277e-1,-7.594189213715887288e-1,3.001798231646308768e-1,-1.287141991766325599e0
27,8.613777351534860349e-1,-1.836178502764687637e-1,1.617944694344721490e-1,9.882129945888762368e-1,-7.850415262232192104e-1,1.039296125716645980e0,1.559529472995967447e-1,-2.614503907288333040e-1,4.631385624235310750e-1,-8.556782754401771607e-1,-3.177474167340688660e-1,-7.267626038600428773e-1,3.219029637996881354e-1,-1.287141991766325377e0
28,9.074041074756240555e-1,-1.386615143826961105e-1,1.248354805686599095e-1,9.659909299647261305e-1,-8.192471970479060506e-1,1.026264026509544847e0,1.771941966774677468e-1,-3.053056484708522311e-1,4.595962730812758745e-1,-8.876025121268488194e-1,-3.020296772461276702e-1,-6.606852814938739549e-1,3.596509239666301760e-1,-1.287141991766325377e0
29,9.309188404709293208e-1,-1.160614021392281092e-1,1.054060520049664718e-1,9.564457848082250635e-1,-8.328613843523812177e-1,1.018809769422759359e0,1.879730997078275234e-1,-3.288335780772994044e-1,4.570940748829631639e-1,-9.027483672835311390e-1,-2.933791517127939952e-1,-6.276122067309256591e-1,3.757673094694181093e-1,-1.287141991766325599e0
