# REBOUND parity — Figure-8 choreography — REBOUND IAS15 side
# protocol: paper/notebooks/2026-04-26-rebound-parity-figure8.md
# integrator: IAS15 (REBOUND)
# rebound_version: 4.6.0
# units: canonical (G = 1)
# mass=1.0, period=6.325913986999999850e+00
# n_periods=10, samples_per_period=200, dt0=6.424945463533106478e-04
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
0,0.000000000000000000e+00,-9.700043600000000099e-01,2.430875299999999961e-01,4.662036849999999788e-01,4.323657300000000037e-01,9.700043600000000099e-01,-2.430875299999999961e-01,4.662036849999999788e-01,4.323657300000000037e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.324073699999999576e-01,-8.647314600000000073e-01,-1.287141991766325821e+00
1,3.780809306019140836e-02,-9.514968526239577784e-01,2.591978692912482729e-01,5.132040774305954844e-01,4.193134997030396605e-01,9.867787397404713667e-01,-2.265411079759455104e-01,4.215287526106644700e-01,4.424732265674043985e-01,-3.528188711651360221e-02,-3.265676131530275556e-02,-9.347328300412600655e-01,-8.617867262704440590e-01,-1.287141991766325377e+00
2,7.836093873677613120e-02,-9.296206174941101796e-01,2.758536040217022811e-01,5.661124326464224144e-01,4.013814418799734329e-01,1.002944610267382242e+00,-2.084237287468170552e-01,3.761842081863543408e-01,4.506300350689704248e-01,-7.332399277327211751e-02,-6.742987527488522592e-02,-9.422966408327767551e-01,-8.520114769489438578e-01,-1.287141991766325599e+00
3,1.005479245619275014e-01,-9.167291445200943523e-01,2.846308976857112594e-01,5.960760005266267925e-01,3.895775913617959274e-01,1.011026560887525738e+00,-1.983857861602086048e-01,3.524733261191188571e-01,4.541154211093476611e-01,-9.429741636743138589e-02,-8.624511152550269621e-02,-9.485493266457456496e-01,-8.436930124711435885e-01,-1.287141991766325599e+00
4,1.466855248183500382e-01,-8.877540154994212340e-01,3.019471642885133145e-01,6.603599893517008157e-01,3.598179724137866020e-01,1.026193972791570541e+00,-1.772996075932803672e-01,3.055313555769305078e-01,4.595743642883078905e-01,-1.384399572921493071e-01,-1.246475566952329750e-01,-9.658913449286313790e-01,-8.193923367020944371e-01,-1.287141991766325377e+00
5,1.699897704859587022e-01,-8.719779155187938890e-01,3.101266706640153914e-01,6.936376683672302867e-01,3.418023676862703142e-01,1.033049809005222919e+00,-1.665654117860303207e-01,2.829684720994205538e-01,4.615735129815896620e-01,-1.610718934864290852e-01,-1.435612588779850707e-01,-9.766061404666507295e-01,-8.033758806678600317e-01,-1.287141991766325155e+00
6,1.931341767022163036e-01,-8.555380482463145198e-01,3.178094970217079096e-01,7.270420436344661175e-01,3.217262329165582191e-01,1.039346544927945537e+00,-1.558635980986775582e-01,2.612723737595381568e-01,4.631501973002392636e-01,-1.838084966816309895e-01,-1.619458989230303514e-01,-9.883144173940042743e-01,-7.848764302167975382e-01,-1.287141991766325599e+00
7,2.386255043978672274e-01,-8.209624895050580129e-01,3.314271013675462174e-01,7.930424673327584051e-01,2.753913368880948065e-01,1.050296422589420464e+00,-1.347412265207597604e-01,2.205360493964685920e-01,4.652956396074997558e-01,-2.293339330843624235e-01,-1.966858748467864570e-01,-1.013578516729227053e+00,-7.406869764955945623e-01,-1.287141991766325821e+00
8,2.609166162648484666e-01,-8.029261974137287261e-01,3.372778077965079557e-01,8.251513519886571890e-01,2.491443029900543837e-01,1.054998367821670113e+00,-1.243612323310409606e-01,2.014180068624260023e-01,4.659828254938180869e-01,-2.520721704079413317e-01,-2.129165754654669951e-01,-1.026569358851083136e+00,-7.151271284838724984e-01,-1.287141991766325599e+00
9,3.046075397969967291e-01,-7.655238918400043557e-01,3.469188130319557639e-01,8.865293472079855963e-01,1.905984318483199269e-01,1.063004361139658238e+00,-1.039814725220158526e-01,1.653597351256718140e-01,4.668268432208682595e-01,-2.974804692996539934e-01,-2.429373405099398975e-01,-1.051889082333657521e+00,-6.574252750691882419e-01,-1.287141991766325377e+00
10,3.260321752703478349e-01,-7.462193220864737908e-01,3.506615549947265098e-01,9.153909664182779959e-01,1.584074208189342192e-01,1.066363576688399650e+00,-9.397722614285146381e-02,1.482861422951862462e-01,4.670580158657129388e-01,-3.201442546019259150e-01,-2.566843288518750876e-01,-1.063677108713464214e+00,-6.254654366846471580e-01,-1.287141991766325599e+00
11,3.681212699349700745e-01,-7.065548411611757285e-01,3.558902952686319177e-01,9.684888300734936228e-01,8.864152139578540535e-02,1.071915432541207469e+00,-7.431361613137392463e-02,1.157301467456206406e-01,4.672799066871273221e-01,-3.653605913800316851e-01,-2.815766791372579791e-01,-1.084218976819114166e+00,-5.559214280829126720e-01,-1.287141991766326043e+00
12,3.888169185529348204e-01,-6.862614242126636732e-01,3.573419692268902104e-01,9.923613111552183064e-01,5.133253363168390621e-02,1.074148717407864106e+00,-6.464255208741788439e-02,1.001318246860257444e-01,4.673126842771642142e-01,-3.878872931952004888e-01,-2.926994171394722843e-01,-1.092493135841243967e+00,-5.186452179088480996e-01,-1.287141991766324933e+00
13,4.296092910709483625e-01,-6.449053359914771466e-01,3.578532188564175209e-01,1.033983477316137156e+00,-2.731990030450837451e-02,1.077616493913033935e+00,-4.557978635771884474e-02,7.001311533689905109e-02,4.672991410637938881e-01,-4.327111579215567327e-01,-3.122734324986987109e-01,-1.103996592653036179e+00,-4.399792407592855170e-01,-1.287141991766325599e+00
