# REBOUND parity — Kepler e=0.5 — apsis IAS15 side (dense trajectory trace)
# protocol: paper/notebooks/2026-04-25-rebound-parity-kepler.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# a=1, e=0.5, m_primary=1, m_secondary=1e-6
# dense trace: 2 orbits x 120 samples/orbit
orbit,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,e_total
0,0.000000000000000000e0,-4.999995000005000306e-7,0.000000000000000000e0,0.000000000000000000e0,-1.732049075519801814e-6,4.999995000005000301e-1,0.000000000000000000e0,0.000000000000000000e0,1.732049075519801695e0,-5.000014999985003469e-7
0,5.773593917172806234e-2,-4.933693459387926449e-7,-9.956024271278689779e-8,2.284103687425172641e-7,-1.709232823092184326e-6,4.933693459387926139e-1,9.956024271278690607e-2,-2.284103687425172446e-1,1.709232823092184272e0,-5.000014999985001352e-7
0,1.112881434406205600e-1,-4.757249270677510484e-7,-1.896571763032796889e-7,4.276147797660386777e-7,-1.649952347248912614e-6,4.757249270677510466e-1,1.896571763032796898e-1,-4.276147797660386773e-1,1.649952347248912377e0,-5.000014999985001352e-7
0,1.661151025337464782e-1,-4.471823478002304082e-7,-2.777288731655548403e-7,6.092112606030356886e-7,-1.558263912332413350e-6,4.471823478002303620e-1,2.777288731655547793e-1,-6.092112606030357647e-1,1.558263912332413126e0,-5.000014999985005587e-7
0,2.229898725823698524e-1,-4.078735317916492838e-7,-3.630747411914153911e-7,7.677559206582627185e-7,-1.439835742626821130e-6,4.078735317916492575e-1,3.630747411914153622e-1,-7.677559206582627027e-1,1.439835742626820903e0,-5.000014999984999234e-7
0,2.623792560796209261e-1,-3.757902330417944091e-7,-4.180221862176063333e-7,8.587209641800913332e-7,-1.349314623837982762e-6,3.757902330417943748e-1,4.180221862176062841e-1,-8.587209641800912507e-1,1.349314623837982507e0,-5.000014999985003469e-7
0,3.241909857775023829e-1,-3.190408054833005209e-7,-4.968681041690564268e-7,9.716421405966323439e-7,-1.201243467357271355e-6,3.190408054833005491e-1,4.968681041690564126e-1,-9.716421405966324532e-1,1.201243467357271166e0,-5.000014999985001352e-7
0,3.675719403712309208e-1,-2.755447844729383388e-7,-5.467141710863154559e-7,1.031139824809745502e-6,-1.097044597376397018e-6,2.755447844729383422e-1,5.467141710863153703e-1,-1.031139824809745420e0,1.097044597376396702e0,-5.000014999985003469e-7
0,4.366686232369272891e-1,-2.018209394793248886e-7,-6.169148826347240970e-7,1.097465338541848587e-6,-9.363794049396281337e-7,2.018209394793248901e-1,6.169148826347240488e-1,-1.097465338541848690e0,9.363794049396279018e-1,-5.000014999985003469e-7
0,4.857754504017529618e-1,-1.471488204091771837e-7,-6.602250165781007833e-7,1.127047284133478170e-6,-8.285411975840520150e-7,1.471488204091772056e-1,6.602250165781006208e-1,-1.127047284133478211e0,8.285411975840517584e-1,-5.000014999985001352e-7
0,5.376073055357809549e-1,-8.819944438145082274e-8,-7.003671389393411271e-7,1.145651736832588642e-6,-7.216240763903009118e-7,8.819944438145081722e-2,7.003671389393409941e-1,-1.145651736832588696e0,7.216240763903006838e-1,-5.000014999985003469e-7
0,5.924541965008680577e-1,-2.508705006127744810e-8,-7.370281782477915852e-7,1.154032204921138608e-6,-6.166296183144229982e-7,2.508705006127744802e-2,7.370281782477915433e-1,-1.154032204921138671e0,6.166296183144227561e-1,-5.000014999984999234e-7
0,6.506161167364249431e-1,4.204659230722810931e-8,-7.698744033713217029e-7,1.152982270031639931e-6,-5.143785575787014171e-7,-4.204659230722811170e-2,7.698744033713216250e-1,-1.152982270031640111e0,5.143785575787012121e-1,-5.000014999984998176e-7
0,6.810526731109705079e-1,7.708643582217910392e-8,-7.847646398408494352e-7,1.149169745135516789e-6,-4.644670497367039065e-7,-7.708643582217911128e-2,7.847646398408493207e-1,-1.149169745135516729e0,4.644670497367036077e-1,-5.000014999985002411e-7
0,7.448745328040818903e-1,1.500279652238238280e-7,-8.112563311281903416e-7,1.135447520590379393e-6,-3.673669633811057802e-7,-1.500279652238238615e-1,8.112563311281901779e-1,-1.135447520590379566e0,3.673669633811055268e-1,-5.000014999984999234e-7
0,8.130058280577372454e-1,2.266959473946561025e-7,-8.330519155092305665e-7,1.114182895871584788e-6,-2.741492497394378777e-7,-2.266959473946561221e-1,8.330519155092304118e-1,-1.114182895871584922e0,2.741492497394376060e-1,-5.000014999984998176e-7
0,8.488083008900942916e-1,2.663529935815134273e-7,-8.420531171264948719e-7,1.100936542674738730e-6,-2.291071519826023769e-7,-2.663529935815134864e-1,8.420531171264946657e-1,-1.100936542674738838e0,2.291071519826021197e-1,-5.000014999985000293e-7
0,9.242174643339836626e-1,3.482174450022539813e-7,-8.559893716101145748e-7,1.069585782740258075e-6,-1.422398303864304866e-7,-3.482174450022539891e-1,8.559893716101143468e-1,-1.069585782740258173e0,1.422398303864302327e-1,-5.000014999984999234e-7
0,9.639329437450783189e-1,3.903427274192192959e-7,-8.608005109204587684e-7,1.051628355178503369e-6,-1.004721004004983335e-7,-3.903427274192193819e-1,8.608005109204586169e-1,-1.051628355178503282e0,1.004721004004980739e-1,-5.000014999985002411e-7
0,1.005078695440593473e0,4.332162452345148836e-7,-8.640895737765866893e-7,1.032235185927736646e-6,-5.983152846734337224e-8,-4.332162452345149073e-1,8.640895737765864615e-1,-1.032235185927736776e0,5.983152846734310359e-2,-5.000014999985001352e-7
0,1.047717628650114641e0,4.767890517998599040e-7,-8.657895587109275214e-7,1.011468481416124509e-6,-2.033431431038579645e-8,-4.767890517998599753e-1,8.657895587109272206e-1,-1.011468481416124554e0,2.033431431038552895e-2,-5.000014999985001352e-7
0,1.137725813966948385e0,5.657986716679047429e-7,-8.641458494836091161e-7,9.660495577596217205e-7,5.517149043626278641e-8,-5.657986716679047623e-1,8.641458494836088411e-1,-9.660495577596217576e-1,-5.517149043626305704e-2,-5.000014999985001352e-7
0,1.185234814614415821e0,6.111127252297393262e-7,-8.606598456246678452e-7,9.415003287309696659e-7,9.116508600621039629e-8,-6.111127252297393619e-1,8.606598456246675743e-1,-9.415003287309696711e-1,-9.116508600621067715e-2,-5.000014999985001352e-7
