# REBOUND parity — Kepler e=0.5 — REBOUND IAS15 side
# protocol: paper/notebooks/2026-04-25-rebound-parity-kepler.md
# integrator: IAS15 (REBOUND)
# rebound_version: 4.6.0
# units: canonical (G = 1)
# a=1.0, e=0.5, m_primary=1.0, m_secondary=1.000000e-06
# period=6.283185307179586232e+00, dt0=1.005309649148733858e-01, n_orbits=100
orbit,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,e_total
0,0.000000000000000000e+00,-4.999995000005000306e-07,0.000000000000000000e+00,0.000000000000000000e+00,-1.732049075519801814e-06,4.999995000005000301e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.732049075519801695e+00,-5.000014999985003469e-07
1,5.773593917172806234e-02,-4.933693459387926449e-07,-9.956024271278691103e-08,2.284103687425172641e-07,-1.709232823092184326e-06,4.933693459387926139e-01,9.956024271278690607e-02,-2.284103687425172446e-01,1.709232823092184272e+00,-5.000014999985001352e-07
2,1.112881434406205600e-01,-4.757249270677510484e-07,-1.896571763032796624e-07,4.276147797660385718e-07,-1.649952347248912614e-06,4.757249270677510466e-01,1.896571763032796343e-01,-4.276147797660386218e-01,1.649952347248912377e+00,-5.000014999985001352e-07
3,1.661151025337464782e-01,-4.471823478002304082e-07,-2.777288731655547874e-07,6.092112606030355827e-07,-1.558263912332413350e-06,4.471823478002304175e-01,2.777288731655547238e-01,-6.092112606030356536e-01,1.558263912332413348e+00,-5.000014999984999234e-07
4,2.229898725823698524e-01,-4.078735317916492838e-07,-3.630747411914153911e-07,7.677559206582626126e-07,-1.439835742626821130e-06,4.078735317916492575e-01,3.630747411914153622e-01,-7.677559206582627027e-01,1.439835742626821125e+00,-5.000014999984997117e-07
5,2.623792560796209261e-01,-3.757902330417944091e-07,-4.180221862176063333e-07,8.587209641800912273e-07,-1.349314623837982762e-06,3.757902330417944303e-01,4.180221862176062841e-01,-8.587209641800912507e-01,1.349314623837982507e+00,-5.000014999985003469e-07
6,3.241909857775023829e-01,-3.190408054833005209e-07,-4.968681041690565327e-07,9.716421405966323439e-07,-1.201243467357271355e-06,3.190408054833004936e-01,4.968681041690564681e-01,-9.716421405966324532e-01,1.201243467357271166e+00,-5.000014999985001352e-07
7,3.675719403712309208e-01,-2.755447844729383388e-07,-5.467141710863154559e-07,1.031139824809745502e-06,-1.097044597376397018e-06,2.755447844729383422e-01,5.467141710863154813e-01,-1.031139824809745420e+00,1.097044597376396702e+00,-5.000014999985001352e-07
8,4.366686232369272891e-01,-2.018209394793248886e-07,-6.169148826347242029e-07,1.097465338541848587e-06,-9.363794049396281337e-07,2.018209394793248623e-01,6.169148826347240488e-01,-1.097465338541848690e+00,9.363794049396280128e-01,-5.000014999985001352e-07
9,4.857754504017529618e-01,-1.471488204091771837e-07,-6.602250165781007833e-07,1.127047284133477958e-06,-8.285411975840520150e-07,1.471488204091771779e-01,6.602250165781007318e-01,-1.127047284133478211e+00,8.285411975840518695e-01,-5.000014999984999234e-07
10,5.376073055357809549e-01,-8.819944438145083598e-08,-7.003671389393412330e-07,1.145651736832588642e-06,-7.216240763903010177e-07,8.819944438145080334e-02,7.003671389393411051e-01,-1.145651736832588696e+00,7.216240763903007949e-01,-5.000014999985000293e-07
11,5.924541965008680577e-01,-2.508705006127750104e-08,-7.370281782477915852e-07,1.154032204921138608e-06,-6.166296183144231041e-07,2.508705006127746190e-02,7.370281782477915433e-01,-1.154032204921138671e+00,6.166296183144229781e-01,-5.000014999984998176e-07
12,6.506161167364249431e-01,4.204659230722812255e-08,-7.698744033713218088e-07,1.152982270031639931e-06,-5.143785575787014171e-07,-4.204659230722816721e-02,7.698744033713216250e-01,-1.152982270031639889e+00,5.143785575787012121e-01,-5.000014999985001352e-07
13,6.810526731109705079e-01,7.708643582217915686e-08,-7.847646398408495411e-07,1.149169745135516577e-06,-4.644670497367038536e-07,-7.708643582217919454e-02,7.847646398408494317e-01,-1.149169745135516729e+00,4.644670497367036632e-01,-5.000014999984998176e-07
14,7.448745328040818903e-01,1.500279652238239074e-07,-8.112563311281903416e-07,1.135447520590379393e-06,-3.673669633811057273e-07,-1.500279652238239447e-01,8.112563311281902889e-01,-1.135447520590379344e+00,3.673669633811055824e-01,-5.000014999985001352e-07
15,8.130058280577372454e-01,2.266959473946561290e-07,-8.330519155092305665e-07,1.114182895871584788e-06,-2.741492497394379306e-07,-2.266959473946561499e-01,8.330519155092304118e-01,-1.114182895871584922e+00,2.741492497394377170e-01,-5.000014999984998176e-07
16,8.488083008900942916e-01,2.663529935815134803e-07,-8.420531171264949777e-07,1.100936542674738730e-06,-2.291071519826023769e-07,-2.663529935815135419e-01,8.420531171264947767e-01,-1.100936542674738838e+00,2.291071519826022029e-01,-5.000014999985000293e-07
17,9.242174643339836626e-01,3.482174450022539283e-07,-8.559893716101146806e-07,1.069585782740258075e-06,-1.422398303864305924e-07,-3.482174450022539891e-01,8.559893716101144578e-01,-1.069585782740258173e+00,1.422398303864303992e-01,-5.000014999984999234e-07
18,9.639329437450783189e-01,3.903427274192192959e-07,-8.608005109204588742e-07,1.051628355178503369e-06,-1.004721004004984262e-07,-3.903427274192193819e-01,8.608005109204587280e-01,-1.051628355178503282e+00,1.004721004004982404e-01,-5.000014999985000293e-07
19,1.005078695440593473e+00,4.332162452345149895e-07,-8.640895737765867952e-07,1.032235185927736646e-06,-5.983152846734338547e-08,-4.332162452345150183e-01,8.640895737765865725e-01,-1.032235185927736554e+00,5.983152846734318686e-02,-5.000014999985002411e-07
20,1.047717628650114641e+00,4.767890517998600629e-07,-8.657895587109275214e-07,1.011468481416124297e-06,-2.033431431038576336e-08,-4.767890517998601418e-01,8.657895587109273317e-01,-1.011468481416124554e+00,2.033431431038555670e-02,-5.000014999984999234e-07
