# REBOUND parity — Pythagorean three-body (Burrau 1913) — apsis IAS15 side
# protocol: docs/experiments/2026-04-30-rebound-parity-pythagorean.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# masses=(3,4,5), horizon=7.000000000000000000e1
# samples_per_t_unit=30, dt0=1.000000000000000021e-3
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
0,0.000000000000000000e0,1.000000000000000000e0,3.000000000000000000e0,0.000000000000000000e0,0.000000000000000000e0,-2.000000000000000000e0,-1.000000000000000000e0,0.000000000000000000e0,0.000000000000000000e0,1.000000000000000000e0,-1.000000000000000000e0,0.000000000000000000e0,0.000000000000000000e0,-1.281666666666666643e1
1,6.236855756229835179e-2,9.998132538982024142e-1,2.999143170545004899e0,-5.989557793460121779e-3,-2.747930595958855693e-2,-1.998779192592810006e0,-9.998132538938369063e-1,3.915660676798885659e-2,5.989558213609356627e-3,9.991354017353265560e-1,-9.996352992119333924e-1,-2.773155073831501047e-2,1.169593700486564955e-2,-1.281666666666666643e1
2,1.469400477539076766e-1,9.989625670068182917e-1,2.995241635023145665e0,-1.413476827324710271e-2,-6.480510510605649865e-2,-1.993216984130489422e0,-9.989625662557723995e-1,9.243442373100184406e-2,1.413479901520518604e-2,9.951960471003005182e-1,-9.979749280092694574e-1,-6.546667802085320842e-2,2.757522385146975175e-2,-1.281666666666666643e1
3,1.469400477539076766e-1,9.989625670068182917e-1,2.995241635023145665e0,-1.413476827324710271e-2,-6.480510510605649865e-2,-1.993216984130489422e0,-9.989625662557723995e-1,9.243442373100184406e-2,1.413479901520518604e-2,9.951960471003005182e-1,-9.979749280092694574e-1,-6.546667802085320842e-2,2.757522385146975175e-2,-1.281666666666666643e1
4,1.469400477539076766e-1,9.989625670068182917e-1,2.995241635023145665e0,-1.413476827324710271e-2,-6.480510510605649865e-2,-1.993216984130489422e0,-9.989625662557723995e-1,9.243442373100184406e-2,1.413479901520518604e-2,9.951960471003005182e-1,-9.979749280092694574e-1,-6.546667802085320842e-2,2.757522385146975175e-2,-1.281666666666666643e1
5,1.945327766738818853e-1,9.981803156413961986e-1,2.991656272523610660e0,-1.874146831987221276e-2,-8.587296652595359514e-2,-1.988100707755741992e0,-9.981803115753833389e-1,1.225953934727661288e-1,1.874159426421579538e-2,9.915723768197558519e-1,-9.964495142538598582e-1,-8.683143378628957465e-2,3.653050450419952078e-2,-1.281666666666666643e1
6,2.832779079249215237e-1,9.961336418494647349e-1,2.982286039707494396e0,-2.740057782435745271e-2,-1.253457627421944165e-1,-1.974707453880886421e0,-9.961336025169973407e-1,1.793766358407446471e-1,2.740141852029041522e-2,9.820857779950302735e-1,-9.924647418108986097e-1,-1.270609619779812238e-1,5.328632282908432605e-2,-1.281666666666666643e1
7,2.832779079249215237e-1,9.961336418494647349e-1,2.982286039707494396e0,-2.740057782435745271e-2,-1.253457627421944165e-1,-1.974707453880886421e0,-9.961336025169973407e-1,1.793766358407446471e-1,2.740141852029041522e-2,9.820857779950302735e-1,-9.924647418108986097e-1,-1.270609619779812238e-1,5.328632282908432605e-2,-1.281666666666666643e1
8,2.832779079249215237e-1,9.961336418494647349e-1,2.982286039707494396e0,-2.740057782435745271e-2,-1.253457627421944165e-1,-1.974707453880886421e0,-9.961336025169973407e-1,1.793766358407446471e-1,2.740141852029041522e-2,9.820857779950302735e-1,-9.924647418108986097e-1,-1.270609619779812238e-1,5.328632282908432605e-2,-1.281666666666666643e1
9,3.653528050530889804e-1,9.935524396886092902e-1,2.970490261140695143e0,-3.551860935693409993e-2,-1.621489171172052490e-1,-1.957801251650531649e0,-9.935522553199681584e-1,2.327559232550968360e-1,3.552168364340809598e-2,9.701095375072598115e-1,-9.874523524284425369e-1,-1.648935729899170255e-1,6.887200335559667819e-2,-1.281666666666666821e1
10,3.653528050530889804e-1,9.935524396886092902e-1,2.970490261140695143e0,-3.551860935693409993e-2,-1.621489171172052490e-1,-1.957801251650531649e0,-9.935522553199681584e-1,2.327559232550968360e-1,3.552168364340809598e-2,9.701095375072598115e-1,-9.874523524284425369e-1,-1.648935729899170255e-1,6.887200335559667819e-2,-1.281666666666666821e1
11,4.417251428602450014e-1,9.905474223582088067e-1,2.956788292880708102e0,-4.319787981643334607e-2,-1.967318698834373547e-1,-1.938097167555757672e0,-9.905468340276847306e-1,2.834263402724491732e-1,4.320605279820043110e-2,9.561492806296809643e-1,-9.816355085062770103e-1,-2.008223443280993115e-1,8.347427969150207627e-2,-1.281666666666666643e1
12,4.417251428602450014e-1,9.905474223582088067e-1,2.956788292880708102e0,-4.319787981643334607e-2,-1.967318698834373547e-1,-1.938097167555757672e0,-9.905468340276847306e-1,2.834263402724491732e-1,4.320605279820043110e-2,9.561492806296809643e-1,-9.816355085062770103e-1,-2.008223443280993115e-1,8.347427969150207627e-2,-1.281666666666666643e1
13,4.417251428602450014e-1,9.905474223582088067e-1,2.956788292880708102e0,-4.319787981643334607e-2,-1.967318698834373547e-1,-1.938097167555757672e0,-9.905468340276847306e-1,2.834263402724491732e-1,4.320605279820043110e-2,9.561492806296809643e-1,-9.816355085062770103e-1,-2.008223443280993115e-1,8.347427969150207627e-2,-1.281666666666666643e1
14,5.133913188945857797e-1,9.871893554693023098e-1,2.941515676285642922e0,-5.054049854913547635e-2,-2.295479814242344374e-1,-1.916048766832505024e0,-9.871878700105014559e-1,3.320798185330784968e-1,5.055839959919582183e-2,9.405254001844226552e-1,-9.751591097629845883e-1,-2.353395556969815339e-1,9.728206917518400498e-2,-1.281666666666666643e1
15,5.133913188945857797e-1,9.871893554693023098e-1,2.941515676285642922e0,-5.054049854913547635e-2,-2.295479814242344374e-1,-1.916048766832505024e0,-9.871878700105014559e-1,3.320798185330784968e-1,5.055839959919582183e-2,9.405254001844226552e-1,-9.751591097629845883e-1,-2.353395556969815339e-1,9.728206917518400498e-2,-1.281666666666666643e1
16,5.808522158717179806e-1,9.835426861397363885e-1,2.924977565134672997e0,-5.759697375397947877e-2,-2.608209140003016624e-1,-1.892068497588257125e0,-9.835394871564840935e-1,3.790692118552887457e-1,5.763135553506977538e-2,9.235291863867639561e-1,-9.681549493556164121e-1,-2.686971852318433274e-1,1.103874639721251771e-1,-1.281666666666666643e1
17,5.808522158717179806e-1,9.835426861397363885e-1,2.924977565134672997e0,-5.759697375397947877e-2,-2.608209140003016624e-1,-1.892068497588257125e0,-9.835394871564840935e-1,3.790692118552887457e-1,5.763135553506977538e-2,9.235291863867639561e-1,-9.681549493556164121e-1,-2.686971852318433274e-1,1.103874639721251771e-1,-1.281666666666666643e1
18,6.445177858748163402e-1,9.796597959017276924e-1,2.907422393179121212e0,-6.440690619381338189e-2,-2.907280683844072344e-1,-1.866490092807558954e0,-9.796536537274083134e-1,4.246762595125143092e-1,6.446698257279255551e-2,9.053961967050105919e-1,-9.607305129255461207e-1,-3.010968638937234210e-1,1.228632549724102824e-1,-1.281666666666666465e1
19,6.445177858748163402e-1,9.796597959017276924e-1,2.907422393179121212e0,-6.440690619381338189e-2,-2.907280683844072344e-1,-1.866490092807558954e0,-9.796536537274083134e-1,4.246762595125143092e-1,6.446698257279255551e-2,9.053961967050105919e-1,-9.607305129255461207e-1,-3.010968638937234210e-1,1.228632549724102824e-1,-1.281666666666666465e1
20,7.047053004225506401e-1,9.755857225140184275e-1,2.889063389541532523e0,-7.099912031222187225e-2,-3.194007943928262594e-1,-1.839599579175093425e0,-9.755749087381848650e-1,4.691123584289920712e-1,7.109686753933798509e-2,8.863282298316637053e-1,-9.529781067343715550e-1,-3.326904145558605141e-1,1.347629826042253398e-1,-1.281666666666666643e1
21,7.047053004225506401e-1,9.755857225140184275e-1,2.889063389541532523e0,-7.099912031222187225e-2,-3.194007943928262594e-1,-1.839599579175093425e0,-9.755749087381848650e-1,4.691123584289920712e-1,7.109686753933798509e-2,8.863282298316637053e-1,-9.529781067343715550e-1,-3.326904145558605141e-1,1.347629826042253398e-1,-1.281666666666666643e1
22,7.616119014157520795e-1,9.713643740730069087e-1,2.870106574547362399e0,-7.738835253995481056e-2,-3.469107035127896310e-1,-1.811676383992853356e0,-9.713465930013136518e-1,5.124950603101177116e-1,7.753870998430162365e-2,8.665224827504786065e-1,-9.449866703273666069e-1,-3.635630367241212690e-1,1.461154541202324686e-1,-1.281666666666666643e1
23,8.154869474985867450e-1,9.670286232993277054e-1,2.850706289033869023e0,-8.359437221404746043e-2,-3.733525655006416644e-1,-1.782927926500485150e0,-9.670009413427140821e-1,5.549767740894633317e-1,8.381551338236112314e-2,8.461251672207914520e-1,-9.368230203461501704e-1,-3.938247959431422363e-1,1.569591285944960946e-1,-1.281666666666666643e1
