# REBOUND parity — Retrograde Kepler e=0.5 — apsis IAS15 side
# protocol: docs/experiments/2026-05-01-rebound-parity-retrograde.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# a=1, e=0.5, m_primary=1, m_secondary=1e-6
# orbit_sense: retrograde (secondary_vy = -v_peri)
# period=6.283185307179586232e0, dt0=6.283185307179586614e-3, n_orbits=10000
orbit,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,e_total
0,0.000000000000000000e0,-4.999995000005000306e-7,0.000000000000000000e0,0.000000000000000000e0,1.732049075519801814e-6,4.999995000005000301e-1,0.000000000000000000e0,0.000000000000000000e0,-1.732049075519801695e0,-5.000014999985003469e-7
1,6.284722336075541982e0,-4.999945799832958849e-7,2.716614233064852456e-9,6.273727241942238809e-9,1.732032032164111619e-6,4.999945799832958837e-1,-2.716614233063639142e-3,-6.273727241942278487e-3,-1.732032032164111612e0,-5.000014999985001352e-7
2,1.258240177800758630e1,-4.994816901197622127e-7,2.786596798916878050e-8,6.432045513220574185e-8,1.730256257812468932e-6,4.994816901197619563e-1,-2.786596798916634102e-2,-6.432045513220582822e-2,-1.730256257812468945e0,-5.000014999984999234e-7
3,1.886234069951881409e1,-4.996678530841115569e-7,2.230217225344078641e-8,5.148763643909615641e-8,1.730900597789417941e-6,4.996678530841107135e-1,-2.230217225343710669e-2,-5.148763643909626264e-2,-1.730900597789417850e0,-5.000014999984994999e-7
4,2.514223552641562875e1,-4.998144412498056231e-7,1.666018864722587085e-8,3.846797725437472097e-8,1.731408131814625268e-6,4.998144412498042866e-1,-1.666018864722094636e-2,-3.846797725437479942e-2,-1.731408131814625051e0,-5.000014999985005587e-7
5,3.143162951451083487e1,-4.994966279262317846e-7,2.746118974425703750e-8,6.338708905014280431e-8,1.730307951116203940e-6,4.994966279262297859e-1,-2.746118974425106052e-2,-6.338708905014291128e-2,-1.730307951116203835e0,-5.000014999984997117e-7
6,3.771156767084382011e1,-4.996798273904546000e-7,2.189592000737760135e-8,5.055035227737035427e-8,1.730942050999729150e-6,4.996798273904518584e-1,-2.189592000737127647e-2,-5.055035227737046666e-2,-1.730942050999729309e0,-5.000014999984997117e-7
7,4.399152892293040651e1,-4.998208579694244669e-7,1.636882939962075200e-8,3.779547819545076358e-8,1.731430351901233040e-6,4.998208579694210507e-1,-1.636882939961410710e-2,-3.779547819545085729e-2,-1.731430351901233067e0,-5.000014999985001352e-7
8,5.027073146489917832e1,-4.999389957102838943e-7,9.526463574452936351e-9,2.199911619870326995e-8,1.731839495190811214e-6,4.999389957102798321e-1,-9.526463574446211724e-3,-2.199911619870338619e-2,-1.731839495190811373e0,-5.000014999984997117e-7
9,5.655072012576368223e1,-4.999885946863631859e-7,4.044483811504002838e-9,9.340242751462253538e-9,1.732011298815437354e-6,4.999885946863586450e-1,-4.044483811497343907e-3,-9.340242751462321524e-3,-1.732011298815437472e0,-5.000014999985001352e-7
10,6.284826602010129903e1,-4.994401686099466830e-7,2.896136683019739775e-8,6.684608958399043269e-8,1.730112577888119289e-6,4.994401686099418369e-1,-2.896136683019076563e-2,-6.684608958399046452e-2,-1.730112577888119452e0,-5.000014999984992882e-7
11,6.912820121419471775e1,-4.996346567269977739e-7,2.339153655860020903e-8,5.400079194959013925e-8,1.730785682286375231e-6,4.996346567269928651e-1,-2.339153655859415454e-2,-5.400079194959013507e-2,-1.730785682286375415e0,-5.000014999984992882e-7
12,7.540700201409421766e1,-4.998318837468045951e-7,1.585568687423276238e-8,3.661104036406953972e-8,1.731468533092788388e-6,4.998318837467999320e-1,-1.585568687422695550e-2,-3.661104036406952200e-2,-1.731468533092788586e0,-5.000014999984992882e-7
13,8.168692857001953200e1,-4.999292221807031377e-7,1.026707429761524896e-8,2.370914992481868463e-8,1.731805643118583466e-6,4.999292221806985181e-1,-1.026707429760972609e-2,-2.370914992481865102e-2,-1.731805643118583760e0,-5.000014999984997117e-7
14,8.796683217688969592e1,-4.999851600468954876e-7,4.637858683433553788e-9,1.071053295980084446e-8,1.731999401175670764e-6,4.999851600468911417e-1,-4.637858683428319057e-3,-1.071053295980078923e-2,-1.731999401175670972e0,-5.000014999984999234e-7
15,9.425572220738982310e1,-4.998579314191213681e-7,1.457180208798630126e-8,3.364740567846981422e-8,1.731558736984773524e-6,4.998579314191173295e-1,-1.457180208798147282e-2,-3.364740567846973007e-2,-1.731558736984773805e0,-5.000014999984997117e-7
16,1.005356947880341920e2,-4.999447438513534127e-7,9.062660248260779854e-9,2.092819232000962536e-8,1.731859405040697084e-6,4.999447438513500153e-1,-9.062660248256445075e-3,-2.092819232000954488e-2,-1.731859405040697242e0,-5.000014999984999234e-7
17,1.068247057928215042e2,-4.997535902137671454e-7,1.920465018080113459e-8,4.434038044585254785e-8,1.731197428458321936e-6,4.997535902137643649e-1,-1.920465018079738420e-2,-4.434038044585246474e-2,-1.731197428458322252e0,-5.000014999984997117e-7
18,1.131046885952337249e2,-4.998741062370312191e-7,1.371417063859600853e-8,3.166758120189259743e-8,1.731614753242431750e-6,4.998741062370293808e-1,-1.371417063859302690e-2,-3.166758120189246128e-2,-1.731614753242431970e0,-5.000014999984999234e-7
19,1.193845608455325191e2,-4.999564996938448588e-7,8.031123471254582585e-9,1.854630624391537716e-8,1.731900124492991297e-6,4.999564996938439809e-1,-8.031123471252224130e-3,-1.854630624391520599e-2,-1.731900124492991244e0,-5.000014999985001352e-7
20,1.256644203580892025e2,-4.999958952376628491e-7,2.325322277775300858e-9,5.370087784348484807e-9,1.732036588300049829e-6,4.999958952376626908e-1,-2.325322277773315960e-3,-5.370087784348373527e-3,-1.732036588300049917e0,-5.000014999985001352e-7
